Latitude,Longitude,Test Elevation (ft),SPTN
47.56141059,-122.383894,279.2,18.0
47.5611915,-122.3835379,290.6,37.0
47.5611915,-122.3835379,285.6,23.0
47.5611915,-122.3835379,280.6,35.0
47.56133335,-122.3835834,291.0,19.0
47.56133335,-122.3835834,286.0,16.0
47.56133335,-122.3835834,281.0,20.0
47.51973773,-122.3947748,48.2,12.0
47.51973773,-122.3947748,43.2,26.0
47.51973773,-122.3947748,38.2,26.0
47.51973773,-122.3947748,33.2,25.0
47.5197857,-122.3946915,38.7,3.0
47.5197857,-122.3946915,33.7,26.0
47.5197857,-122.3946915,28.700000000000003,39.0
47.5197857,-122.3946915,23.700000000000003,36.0
47.58582684,-122.3966881,98.8,67.0
47.58544559,-122.3970312,107.1,11.0
47.58544559,-122.3970312,104.6,5.0
47.58544559,-122.3970312,102.1,4.0
47.58544559,-122.3970312,99.6,4.0
47.58544559,-122.3970312,97.1,17.0
47.58544559,-122.3970312,94.6,10.0
47.58544559,-122.3970312,92.1,17.0
47.58544559,-122.3970312,89.6,18.0
47.58544559,-122.3970312,87.1,44.0
47.58544559,-122.3970312,81.6,39.0
47.58544559,-122.3970312,77.1,70.0
47.58544559,-122.3970312,71.6,44.0
47.58544559,-122.3970312,67.1,68.0
47.58544559,-122.3970312,62.099999999999994,110.0
47.58543484,-122.3973551,72.6,65.0
47.58543484,-122.3973551,68.6,75.0
47.58543484,-122.3973551,68.1,150.0
47.58547522,-122.3974011,60.5,110.0
47.58547522,-122.3974011,58.5,106.0
47.58463633,-122.3984007,66.4,4.0
47.58463633,-122.3984007,61.400000000000006,7.0
47.58463633,-122.3984007,56.400000000000006,8.0
47.58463633,-122.3984007,51.400000000000006,6.0
47.58463633,-122.3984007,46.400000000000006,7.0
47.58463633,-122.3984007,41.400000000000006,34.0
47.58485087,-122.3980233,74.1,3.0
47.58485087,-122.3980233,69.1,5.0
47.58485087,-122.3980233,64.1,59.0
47.58485087,-122.3980233,59.099999999999994,34.0
47.58485087,-122.3980233,54.099999999999994,55.0
47.52293418,-122.3852008,196.1,18.0
47.52293418,-122.3852008,190.6,36.0
47.52293418,-122.3852008,185.6,62.0
47.52293418,-122.3852008,180.6,43.0
47.52302651,-122.3852567,194.9,3.0
47.52302651,-122.3852567,189.9,5.0
47.52302651,-122.3852567,184.9,29.0
47.52302651,-122.3852567,179.9,36.0
47.52302651,-122.3852567,174.9,30.0
47.5880526,-122.3938692,142.6,45.0
47.5880526,-122.3938692,138.6,15.0
47.5880526,-122.3938692,135.6,13.0
47.5880526,-122.3938692,131.6,9.0
47.5880526,-122.3938692,127.6,16.0
47.5880526,-122.3938692,123.6,13.0
47.5880526,-122.3938692,118.6,16.0
47.5880526,-122.3938692,114.6,40.0
47.5880526,-122.3938692,101.6,36.0
47.5880526,-122.3938692,98.6,32.0
47.5880526,-122.3938692,95.6,38.0
47.5880526,-122.3938692,92.6,42.0
47.5880526,-122.3938692,89.6,68.0
47.5880526,-122.3938692,84.6,80.0
47.5880526,-122.3938692,81.6,62.0
47.5880526,-122.3938692,78.6,75.0
47.5880526,-122.3938692,75.6,65.0
47.5880526,-122.3938692,72.6,72.0
47.5880526,-122.3938692,64.6,68.0
47.5880526,-122.3938692,62.599999999999994,80.0
47.5880526,-122.3938692,58.099999999999994,85.0
47.58956732,-122.3922814,127.6,20.0
47.58956732,-122.3922814,122.6,13.0
47.58956732,-122.3922814,117.6,14.0
47.58956732,-122.3922814,112.6,11.0
47.58956732,-122.3922814,107.6,16.0
47.58956732,-122.3922814,102.6,22.0
47.58956732,-122.3922814,97.6,45.0
47.58956732,-122.3922814,90.6,8.0
47.58956732,-122.3922814,85.6,23.0
47.58956732,-122.3922814,78.6,60.0
47.58956732,-122.3922814,73.6,52.0
47.58956732,-122.3922814,68.6,58.0
47.58956732,-122.3922814,63.599999999999994,80.0
47.58956732,-122.3922814,58.599999999999994,95.0
47.58956732,-122.3922814,53.599999999999994,130.0
47.58956732,-122.3922814,48.599999999999994,35.0
47.58956732,-122.3922814,43.599999999999994,67.0
47.58956732,-122.3922814,38.599999999999994,78.0
47.58956732,-122.3922814,34.599999999999994,115.0
47.58956732,-122.3922814,30.59999999999999,82.0
47.58805307,-122.3928276,215.8,12.0
47.58805307,-122.3928276,210.8,34.0
47.58805307,-122.3928276,205.8,13.0
47.58805307,-122.3928276,200.8,16.0
47.58805307,-122.3928276,195.8,21.0
47.58805307,-122.3928276,190.8,32.0
47.58805307,-122.3928276,185.8,26.0
47.58805307,-122.3928276,180.8,32.0
47.58805307,-122.3928276,175.8,36.0
47.58805307,-122.3928276,170.8,43.0
47.58805307,-122.3928276,165.8,38.0
47.58805307,-122.3928276,160.8,22.0
47.58805307,-122.3928276,155.8,31.0
47.58805307,-122.3928276,150.8,35.0
47.58805307,-122.3928276,145.8,160.0
47.56901276,-122.4075893,107.5,9.0
47.56901276,-122.4075893,105.5,3.0
47.56901276,-122.4075893,103.0,3.0
47.56901276,-122.4075893,100.5,7.0
47.56901276,-122.4075893,98.0,25.0
47.56901276,-122.4075893,95.5,58.0
47.56901276,-122.4075893,90.5,57.0
47.56915642,-122.4076917,105.0,16.0
47.56915642,-122.4076917,103.0,6.0
47.56915642,-122.4076917,100.5,6.0
47.56915642,-122.4076917,98.0,3.0
47.56915642,-122.4076917,95.5,2.0
47.56915642,-122.4076917,93.0,1.0
47.56915642,-122.4076917,90.5,9.0
47.56915642,-122.4076917,88.0,17.0
47.56915642,-122.4076917,78.0,89.0
47.56926758,-122.4077686,97.0,17.0
47.56926758,-122.4077686,95.0,8.0
47.56926758,-122.4077686,92.5,0.0
47.56926758,-122.4077686,90.0,22.0
47.56926758,-122.4077686,87.5,40.0
47.56926758,-122.4077686,85.0,46.0
47.56926758,-122.4077686,75.0,66.0
47.58607881,-122.3787585,22.3,5.0
47.58607881,-122.3787585,17.3,4.0
47.58607881,-122.3787585,12.3,10.0
