Latitude,Longitude,Midpoint Elevation (ft),Lithology
47.5582968,-122.3873773,288.3,Sand
47.5587028,-122.3871972,307.15,Silty sand
47.5587028,-122.3871972,296.9,Sand
47.57053531,-122.3863231,374.4499999985,Sand
47.57037191,-122.3864226,379.14999999400004,Fill
47.57037191,-122.3864226,369.8,Sand
47.57046783,-122.386426,381.74999999399995,Fill
47.57046783,-122.386426,372.4,Sand
47.57040825,-122.3865495,378.549999994,Sand
47.5706042,-122.3864714,376.949999994,Fill
47.5706042,-122.3864714,367.1,Sand
47.55545237,-122.3876008,298.6999999995,Sand
47.55545237,-122.3876008,291.0,Sand
47.55545237,-122.3876008,284.25,Sand
47.5559381,-122.3875774,297.6499999995,Fill
47.5559381,-122.3875774,288.45,Sand
47.5559381,-122.3875774,281.95,Sand
47.56060521,-122.4015688,66.65,Silty sand
47.56060521,-122.4015688,61.900000000000006,Sand
47.56060521,-122.4015688,48.650000000000006,Clay
47.56030411,-122.4017039,27.95,Silty sand
47.56030411,-122.4017039,20.7,Clay
47.56082234,-122.4000249,179.35,Silty sand
47.56082234,-122.4000249,168.35,Silty sand
47.56082234,-122.4000249,157.35,Sand
47.56082234,-122.4000249,146.6,Sand
47.56082234,-122.4000249,133.35,Silty sand
47.56082234,-122.4000249,110.35,Silt
47.58891659,-122.3831913,213.15,Sand
47.58891659,-122.3831913,197.4,Sand
47.58899606,-122.3833644,232.7,Sand
47.58899606,-122.3833644,228.7,Sand
47.58899606,-122.3833644,223.7,Sand
47.58899606,-122.3833644,218.7,Sand
47.58899606,-122.3833644,216.2,Sand
47.58899606,-122.3833644,213.2,Sand
47.58899606,-122.3833644,206.95,Sand
47.58909885,-122.3827722,181.35,Topsoil / vegetation
47.58909885,-122.3827722,171.6,Sand
47.58909885,-122.3827722,165.1,Silty sand
47.58903452,-122.3826807,163.750000095,Sand
47.58903452,-122.3826807,156.85,Sand
47.58903452,-122.3826807,154.550000285,Sand
47.58903452,-122.3826807,152.00000057,Silt
47.58903452,-122.3826807,148.15000019000001,Silty sand
47.58896887,-122.3828405,180.3,Topsoil / vegetation
47.58896887,-122.3828405,172.39999990500002,Sand
47.58896887,-122.3828405,167.89999990500002,Sand
47.58896887,-122.3828405,160.05,Silty sand
47.58895497,-122.3828522,181.7,Sand
47.58895497,-122.3828522,174.95,Sand
47.58895497,-122.3828522,172.45,Sand
47.58895497,-122.3828522,167.45,Sand
47.54011467,-122.3853011,304.5,Silty sand
47.54011467,-122.3853011,298.5,Silty sand
47.54011467,-122.3853011,292.5,Sand
47.58411247,-122.3985766,90.45,Silt
47.58400602,-122.3983783,116.7,Sand
47.58400602,-122.3983783,110.45,Silt
47.59462803,-122.3852414,12.55,Silt
47.59462803,-122.3852414,6.300000000000001,Gravelly sand
47.58956012,-122.3803565,8.55,Fill
47.58956012,-122.3803565,1.3000000000000007,Fill
47.58956012,-122.3803565,-18.950000000000003,Sand
47.5895331,-122.3805015,9.75,Fill
47.5895331,-122.3805015,4.75,Fill
47.5895331,-122.3805015,1.0,Gravelly sand
47.5895331,-122.3805015,-5.0,Sand
47.5895331,-122.3805015,-14.0,Silty sand
47.58945147,-122.3806324,10.0500000955,Fill
47.58945147,-122.3806324,2.499999905,Fill
47.58945147,-122.3806324,-1.5000000949999999,Silty sand
47.58945147,-122.3806324,-9.1,Sand
47.58945147,-122.3806324,-17.700000380000002,Gravelly sand
47.58768434,-122.3795203,12.5,Sandy clay
47.58768434,-122.3795203,0.0,Silty sand
47.5871001,-122.3788512,16.0,Sand
47.5871001,-122.3788512,10.5,Silty sand
47.5871001,-122.3788512,3.75,Sand
47.58678723,-122.3785281,12.5,Silty clay
47.58678723,-122.3785281,4.75,Sand
