Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,Lithology,USCS,Density / Consistency
153061,47.46740726,-122.2341823,22.22,1,19.72,24.0,1,22.22,13.719999999999999,"Silty with sand, low plastic silt with 10-15 percent fine sand, brown with rust mottle, moist, stiff. At 4 ft, 1 inch thick layer of fine sand.",Silty sand,SM,Medium Dense
153061,47.46740726,-122.2341823,22.22,2,14.719999999999999,50.0,1,22.22,13.719999999999999,"Silty with sand, low plastic silt with 10-15 percent fine sand, brown with rust mottle, moist, stiff. At 4 ft, 1 inch thick layer of fine sand.",Silty sand,SM,Dense
153061,47.46740726,-122.2341823,22.22,3,9.719999999999999,23.0,2,13.719999999999999,8.719999999999999,"Silty sand, fine grained poorly graded sand with 15-25 percent no plastic silt, brown, moist, medium dense. At 9.5 ft, 1· thick very dense dry tan silt.",Silty sand,SM,Medium Dense
153062,47.46742936,-122.2339022,15.18,1,11.68,10.0,1,15.18,6.68,"Sandy silt, low plastic silt, fine sand, occasional roots, wet, brown soft. at3 ft, silty sand, fine grained poorly graded sand with 15-25 percent no plastic silt, brown, slightly moist, loose.",Sandy silt,ML,Stiff
153062,47.46742936,-122.2339022,15.18,2,6.68,22.0,2,6.68,1.6799999999999997,"Silty sand as above: fine grained, poorly graded sand with 10-20 percent no plastic silt, brown-gray, slightly moist, medium dense, (sm) to (sp-sm).",Silty sand,SM,Medium Dense
153062,47.46742936,-122.2339022,15.18,3,1.6799999999999997,21.0,3,1.6799999999999997,-3.3200000000000003,"Silty sand (as above) grading to cleaner sand toward tip: sand, fine grained poorly graded sand with less than 5 percent no plastic silt, gray, wet, medium dense (sp).",Silty sand,SM,Medium Dense
153062,47.46742936,-122.2339022,15.18,4,-3.3200000000000003,39.0,4,-3.3200000000000003,-4.82,"Sand, fine to medium grained, poorly graded sand with less than 5 percent no plastic silt, gray, wet, dense.",Sand,SP,Dense
153063,47.46449596,-122.238477,17.45,1,14.95,2.0,2,16.95,11.45,"Gray silt (very soft to soft, moist)",Silt,ML,Very soft
153063,47.46449596,-122.238477,17.45,2,9.95,11.0,3,11.45,7.449999999999999,"Gray silty fine sand (loose to medium dense, wet)",Silty sand,SM,Medium Dense
153063,47.46449596,-122.238477,17.45,3,4.949999999999999,3.0,4,7.449999999999999,1.4499999999999993,"Gray silt with peat to organic silt (soft, moist to wet)",Silt,OH,Soft
153063,47.46449596,-122.238477,17.45,4,-0.05000000000000071,8.0,5,1.4499999999999993,-2.5500000000000007,"Dark gray silty fine sand to fine sandy silt with organic matter (loose, soft, wet)",Silty sand,SM,Loose
153063,47.46449596,-122.238477,17.45,5,-5.050000000000001,27.0,6,-2.5500000000000007,-7.550000000000001,"Dark gray fine to medium sand (medium dense to dense, wet)",Sand,SW,Dense
153063,47.46449596,-122.238477,17.45,6,-10.05,23.0,7,-7.550000000000001,-12.55,"Dark gray fine to coarse sand with gravel and a trace of organic matter (medium dense, wet)",Sand,SW,Medium Dense
153063,47.46449596,-122.238477,17.45,7,-15.05,35.0,8,-12.55,-22.55,"Dark gray fine to medium sand (dense, wet). At 37.5 ft, grades to sand with fine gravel.",Sand,SC,Dense
153063,47.46449596,-122.238477,17.45,8,-20.05,21.0,8,-12.55,-22.55,"Dark gray fine to medium sand (dense, wet). At 37.5 ft, grades to sand with fine gravel.",Sand,SC,Medium Dense
153063,47.46449596,-122.238477,17.45,9,-25.05,24.0,9,-22.55,-31.05,"Dark gray fine to medium sand with silt, a trace of coarse sand, fine gravel and shell fragments (medium deme, wet).",Sand,SW,Medium Dense
153063,47.46449596,-122.238477,17.45,10,-30.05,27.0,9,-22.55,-31.05,"Dark gray fine to medium sand with silt, a trace of coarse sand, fine gravel and shell fragments (medium deme, wet).",Sand,SW,Dense
153064,47.465063,-122.2354437,21.44,1,18.44,7.0,2,18.94,15.440000000000001,"Black to mottled gray silty fine sand to rme sandy silt (loose, medium stiff, moist)",Silty sand,SM,Loose
153064,47.465063,-122.2354437,21.44,2,13.440000000000001,7.0,3,15.440000000000001,10.440000000000001,"Black fine sand with a trace of silt (loose, wet)",Sand,SW,Loose
153064,47.465063,-122.2354437,21.44,3,8.440000000000001,3.0,4,10.440000000000001,-1.5599999999999987,"Dark gray silty fine sand (very loose, wet)",Silty sand,SM,Very loose
153064,47.465063,-122.2354437,21.44,4,3.4400000000000013,6.0,4,10.440000000000001,-1.5599999999999987,"Dark gray silty fine sand (very loose, wet)",Silty sand,SM,Loose
153064,47.465063,-122.2354437,21.44,5,-1.5599999999999987,16.0,5,-1.5599999999999987,-9.559999999999999,"Black fine to medium sand with a trace of silt (medium dense, wet). At 28 ft, grades to with a trace of coarse sand.",Sand,SW,Medium Dense
153064,47.465063,-122.2354437,21.44,6,-6.559999999999999,38.0,5,-1.5599999999999987,-9.559999999999999,"Black fine to medium sand with a trace of silt (medium dense, wet). At 28 ft, grades to with a trace of coarse sand.",Sand,SW,Dense
153064,47.465063,-122.2354437,21.44,7,-11.559999999999999,20.0,6,-9.559999999999999,-16.56,"Gray gravelly fine to coarse sand to sandy fine to coarse gravel (medium dense, wet)",Gravelly sand,incorrect,
153064,47.465063,-122.2354437,21.44,8,-16.56,14.0,7,-16.56,-19.56,"Gray medium sand (medium dense, wet)",Sand,SW,Medium Dense
153064,47.465063,-122.2354437,21.44,9,-21.56,41.0,8,-19.56,-23.56,"Black fine sand (dense, wet)",Sand,SW,Dense
153064,47.465063,-122.2354437,21.44,10,-26.56,18.0,9,-23.56,-27.56,"Gray medium sand with shell fragments (medium dense to dense, wet)",Sand,SW,Medium Dense
153065,47.46506036,-122.2339772,21.08,1,18.58,5.0,2,20.58,13.579999999999998,"Gray silt (medium stiff, moist)",Silt,ML,Medium Stiff
153065,47.46506036,-122.2339772,21.08,2,13.579999999999998,3.0,3,13.579999999999998,8.079999999999998,"Gray silty fine sand (very loose, wet)",Silty sand,SM,Very loose
